family,common name (fr.),description,categories,origin,climat,temperature max. (c°),temperature min. (c°),zone,growth,light ideal,light tolered,watering,insects,disease,appeal,color of leaf,color of blooms,blooming season,perfume,avaibility,pot diameter (cm),height at purchase (m),width at purchase (m),height potential (m),width potential (m),available sizes (pot ø),bearing,pruning,style,use,name,soil
Polypodiaceae,Capillaire rosée,,Fern,Australia & New Guinea,Tropical,30,12,"10,,,8",Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,"Mealy bug  ,  Aphid  &  Snail",Gray mold,Foliage,Dark green  &  Light green,,,,Regular,15,0.25,0.15,0.61,0.91,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,"Table top  ,  Ground cover  &  Tertiary","['adiantum hispidulum', 'autralian maidenhair', 'rosy maidenhair']",No information available
Polypodiaceae,Capilaire,,Fern,Brazil,Tropical,30,12,"10,,,8",Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Must not dry between watering,"Mealy bug  ,  Aphid  &  Snail",Gray mold,Foliage,Medium green  &  Light green,,,,Regular,25,0.46,0.61,0.61,0.91,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,"Potted plant  ,  Ground cover  &  Table top","['adiantum raddianum', 'cuneatum', 'delta maidenhair', 'delta ferns', 'maindenhair', 'maidenhair fern']","Use a very rich, quick-draining soil."
Bromeliaceae,Vase d'argent,,Bromeliad,Brazil,Tropical humid,30,12,10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Change water regularly in the cup,N/A,N/A,Flower,Grey  &  Medium green,Pink,Seasonal,,Regular,15,0.46,0.3,0.46,0.46,6in to 8in Ø  / 15cm to 20cm Ø,Rosette,Never,,"Flower  ,  Table top  &  Tertiary","['billbergia rhodocyanea', 'silver vase', 'aechmea', 'aechmea fatsiata']",No information available
Bromeliaceae,Baie de corail,,Bromeliad,Brazil,Subtropical,30,12,10,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Change water regularly in the cup,N/A,N/A,Flower,Dark green,Red,Seasonal,,Sporadic,15,0.41,0.61,0.61,0.76,6in to 10in Ø  / 15cm to 25cm Ø,Rosette,Never,,"Flower  ,  Table top  &  Primary","['coral berry', 'aechmea ramosa']",No information available
Gesneriaceae,Plante rouge à lèvre,,Hanging,Java,Tropical,32,14,"11,,,9",Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Full sun (+21,500 lux /+2000 fc )",Keep moist between watering  &  Can dry between watering,"Mealy bug  ,  Aphid  &  Thrips",N/A,Flower,Dark green,Red,Fall / Winter,,Regular,20,0.46,0.41,1.22,0.61,4in to 10in Ø  / 10cm to 25cm Ø,Drooping,If needed,,"Hanging  ,  Flower  &  Tertiary","['trichosporum', 'aeschynanthus lobianus', 'lipstick']",No information available
Amaryllidaceae,Agave panaché des Caraïbes,,Cactus & Succulent,India,Tropical,35,5,"10,,,8",Slow,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Must dry between watering  &  Water only when dry,Scale  &  Mealy bug,N/A,Foliage,Medium green  &  White,,Rarely,,Sporadic,20,0.3,0.41,0.76,1.02,6in to 14in Ø  / 15cm to 36cm Ø,Rosette,Never,,"Potted plant  ,  Primary  &  Secondary","['agave striata', 'variegated carabbean agave', 'dragon-tree agave', 'lilliput agave', 'agave plant', 'wilsonii', 'thread agave', 'blue agave', 'agave angustilolia', 'caribaea', 'agave filifera', 'century plant', 'agave attenuata', 'agave verschaffeltii']","Use a succulent potting soil or any good, loose, fast draining indoor potting mix."
Araceae,Aglaonema,,Aglaonema,Hybrid,Tropical,28,18,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Keep moist between watering  &  Water when soil is half dry,Mealy bug  &  Scale,"Phytophtora  ,  Crown rot",Foliage,Dark green  &  Grey,Light green,Seasonal,,Sporadic,25,0.76,0.76,1.22,1.22,8in to 14in Ø  / 20cm to 36cm Ø,Clump,If needed,,"Potted plant  ,  Secondary  &  Tertiary","['chinese evergreen emerald beauty', 'chinese evergreen maria', 'aglaonema', 'chinese evergreen plant', 'aglaonema commutatum', 'chinese evergreen']","Use a well-aerated potting soil that drains quickly for a Chinese Evergreen plant. If the soil does not dry out quickly, root rot may develop."
Apocynaceae,Trompette d'or,,Flower,Brazil,Tropical,30,10,"11,,,9",Regular,"Full sun (+21,500 lux /+2000 fc )","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,"Mealy bug  ,  Scale  &  Spider mite",N/A,Flower,Medium green,Yellow,Spring / Summer,,Seasonal,25,0.61,0.61,1.22,1.22,6in to 10in Ø  / 15cm to 25cm Ø,Bush-like,Fall,Bush,Flower,"['allamanda nerifolia', 'golden trumpet']",No information available
Araceae,Oreille d'éléphant,,Other,Cultivar,Tropical humid,28,15,11,Slow,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)",Keep moist between watering  &  Water when soil is half dry,Spider mite  &  Mealy bug,Phytophtora  &  Crown rot,Foliage,Grey  &  Medium green,,,,Sporadic,15,0.25,0.3,0.61,0.51,4in to 8in Ø  / 10cm to 20cm Ø,Clump,Never,,"Colors / Forms  ,  Table top  &  Tertiary","['alocasia', 'alocasia guttata imperialis', 'elephant ear plant', 'alocasia nebula imperialis', 'african mask', 'alocasia amazonica', 'caladium', 'elephant ear', 'caladium plant', 'jewel alocasia', 'alocasias']","Use a well-aerated, fast draining, loose soil for an alocasia plant. You may have to add quite a bit of peat moss and sand to your usual indoor potting soil to get the right consistency."
Araceae,"Anthurium nid d'oiseaux, Anthurium feuille de choux",,Anthurium,Guyana,Tropical humid,28,18,11,Regular,"Strong light ( 21,500 to 3,200 lux/2000 to 300 fc)","Diffuse light ( Less than 5,300 lux / 500 fc)",Water when soil is half dry  &  Can dry between watering,"Mealy bug  ,  Snail  &  Aphid",Erwinia  &  Crown rot,Foliage,Medium green,Light green,Sporadic,,Regular,20,0.61,0.51,1.52,1.22,6in to 14in Ø  / 15cm to 36cm Ø,Clump,Never,,Potted plant  &  Secondary,"['anthurium', 'tailflower', 'anthurium hookeri', 'cabbage anthurium', 'wax flower', 'anthurium bellum', 'bronze anthurium', 'anthurium tetragonum', 'anthurium superbum', 'bird nest anthurium', 'flamingo flower', 'anthurium schlechtendalii']","Use a rich, organic, loose potting soil that contains some mulch and sphagnum moss. A quick draining soil helps prevent root rot."
